,Species,Samples
37,Herpsilochmus stotzi,4
7,Hylopezus macularius,4
43,Hylophilus pectoralis,4
59,Lepidocolaptes duidae,4
21,Liosceles thoracicus,4
4,Lurocalis semitorquatus,4
65,Malacoptila semicincta,4
71,Mionectes cf. oleagineus,4
8,Myiothlypis mesoleuca,4
11,Myrmothera simplex,4
62,Neocrex erythrops,4
60,Neopipo cinnamomea,4
57,Odontophorus gujanensis,4
24,Ortalis guttata,4
15,Ortalis motmot,4
2,Pachyramphus surinamus,4
61,Pachysylvia hypoxantha,4
46,Picumnus spilogaster,4
49,Piranga lutea,4
48,Poecilotriccus fumifrons,4
38,Poecilotriccus sylvia,4
13,Polioptila plumbea,4
63,Psarocolius bifasciatus,4
67,Pyriglena leuconota,4
41,Pyrrhura amazonum,4
36,Querula purpurata,4
19,Sclerurus sp.,4
40,Selenidera gouldii,4
17,Sporophila lineola,4
26,Strix virgata,4
55,Sublegatus obscurior,4
66,Syndactyla roraimae,4
69,Tangara xanthogastra,4
23,Thamnophilus cryptoleucus,4
10,Thamnophilus insignis,4
6,Tolmomyias cf. sulphurescens,4
18,Turdus amaurochalinus,4
14,Xenopipo uniformis,4
