,Species,Number of Specimens
807,Gymnomystax mexicanus,1
808,Herpsilochmus sellowi,1
809,Pyrocephalus rubinus,1
810,Tinamus tao,1
811,Crax globulosa,1
812,Tangara varia,1
813,Machaeropterus regulus,1
814,Antrostomus sericocaudatus,1
815,Phaetusa simplex,1
816,Nyctibius griseus,1
817,Odontorchilus cinereus,1
818,Crotophaga ani,1
819,Griseotyrannus aurantioatrocristatus,1
820,Campylorhamphus sanus,1
821,Gelochelidon nilotica,1
822,Xipholena lamellipennis,1
823,Sporophila crassirostris,1
824,Amazilia brevirostris,1
825,Euphonia laniirostris,1
826,Accipiter striatus,1
827,Euphonia cayennensis,1
828,Chamaeza nobilis,1
829,Myiozetetes similis,1
830,Bartramia longicauda,1
831,Sirystes sibilator,1
832,Contopus cooperi,1
833,Micropygia schomburgkii,1
834,Myiobius atricaudus,1
835,Leptodon cayanensis,1
836,Buteogallus schistaceus,1
837,Patagioenas fasciata,1
838,Nothocrax urumutum,1
839,Odontophorus stellatus,1
840,Poecilotriccus capitalis,1
841,Patagioenas subvinacea,1
842,Todirostrum poliocephalum,1
843,Micrastur semitorquatus,1
844,Vanellus chilensis,1
845,Sporophila americana,1
846,Buteo brachyurus,1
847,Megascops guatemalae,1
848,Anurolimnas castaneiceps,1
849,Tyrannopsis sulphurea,1
850,Sporophila maximiliani,1
851,Synallaxis scutata,1
852,Troglodytes rufulus,1
853,Catharus minimus,1
854,Phyllomyias griseocapilla,1
855,Hylopezus whittakeri,1
856,Tyrannus dominicensis,1
857,Icterus croconotus,1
858,Atticora tibialis,1
859,Cnipodectes superrufus,1
860,Caracara plancus,1
861,Phaethornis nattereri,1
862,Aulacorhynchus derbianus,1
863,Synallaxis hypospodia,1
864,Perissocephalus tricolor,1
865,Synallaxis kollari,1
866,Tachyphonus coronatus,1
867,Myrmotherula behni,1
868,Tigrisoma fasciatum,1
869,Celeus ochraceus,1
870,Taeniotriccus andrei,1
871,Dromococcyx pavoninus,1
872,Amazona coerulescens,1
873,Dendrocolaptes ridgwayi,1
874,Gallinago paraguaiae,1
875,Coccyzus americanus,1
876,Muscisaxicola fluviatilis,1
877,Hypocnemis subflava,1
878,Nyctibius aethereus,1
879,Icterus nigrogularis,1
880,Amazona farinosa,1
881,Euchrepomis spodioptila,1
882,Podager nacunda,1
883,Leucochloris albicollis,1
884,Falco peregrinus,1
885,Monasa flavirostris,1
886,Xipholena punicea,1
887,Actitis macularius,1
888,Progne subis,1
889,Sclerurus rufigulares,1
890,Notharchus macrorhynchos,1
891,Psophia dextralis,1
892,Myrmotherula sunensis,1
893,Myiopagis viridicata,1
894,Pteroglossus castanotis,1
895,Tangara nigrocincta,1
896,Grallaricula nana,1
897,Rostrhamus sociabilis,1
898,Lanio rufiventer,1
899,Pseudastur albicollis,1
900,Picumnus castelnau,1
901,Coryphospingus cucullatus,1
902,Phylloscartes chapmani,1
903,Pyrrhura picta,1
904,Forpus xanthopterygius,1
905,Nonnula sclateri,1
906,Dendrocolaptes juruanus,1
907,Chondrohierax uncinatus,1
908,Myrmotherula haematonata,1
909,Spiza americana,1
910,Tinamus major,1
911,Arundinicola leucocephala,1
912,Ibycter americanus,1
913,Gymnoderus foetidus,1
914,Vireo altiloquus,1
915,Euphonia chlorotica,1
916,Oxyruncus cristatus,1
917,Columbina talpacoti,1
918,Diglossa duidae,1
919,Herpsilochmus stictocephalus,1
920,Attila citriniventris,1
921,Iodopleura isabellae,1
